Rk,Gcar,Gtm,Date,Team,column_6,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
51,437,52,2025-02-10T00:00:00.000,OKC,,NOP,W 137-101,*,30:33,10,20,0.5,4,9,0.444,6,11,0.545,0.6,7,8,0.875,0,1,1,2,3,1,1,1,31,24.6,12
52,438,53,2025-02-12T00:00:00.000,OKC,,MIA,W 115-101,*,38:12,11,22,0.5,4,9,0.444,7,13,0.538,0.591,6,9,0.667,1,4,5,9,2,0,1,4,32,27.4,19
53,439,54,2025-02-13T00:00:00.000,OKC,@,MIN,L 101-116,*,33:40,6,21,0.286,1,2,0.5,5,19,0.263,0.31,11,11,1,2,6,8,9,0,0,1,2,24,19.4,-12
54,440,55,2025-02-21T00:00:00.000,OKC,@,UTA,W 130-107,*,31:58,7,16,0.438,1,4,0.25,6,12,0.5,0.469,6,6,1,0,2,2,8,1,3,3,1,21,18.5,11
55,441,56,2025-02-23T00:00:00.000,OKC,@,MIN,W 130-123,*,38:07,13,24,0.542,3,6,0.5,10,18,0.556,0.604,8,11,0.727,0,8,8,8,3,3,5,3,37,31.1,16
56,442,57,2025-02-24T00:00:00.000,OKC,,MIN,L 128-131 (OT),*,42:27,11,20,0.55,3,5,0.6,8,15,0.533,0.625,14,17,0.824,1,9,10,8,0,0,4,5,39,31.2,2
57,443,58,2025-02-26T00:00:00.000,OKC,@,BRK,W 129-121,*,33:30,7,11,0.636,1,2,0.5,6,9,0.667,0.682,12,13,0.923,2,4,6,5,2,0,3,2,27,26,-15
58,444,59,2025-02-28T00:00:00.000,OKC,@,ATL,W 135-119,*,34:25,12,23,0.522,3,7,0.429,9,16,0.563,0.587,4,4,1,0,3,3,5,2,0,1,0,31,25.1,23
59,445,60,2025-03-02T00:00:00.000,OKC,@,SAS,W 146-132,*,31:48,10,19,0.526,3,5,0.6,7,14,0.5,0.605,8,9,0.889,2,2,4,8,1,2,0,1,31,30.9,15
60,446,61,2025-03-03T00:00:00.000,OKC,,HOU,W 137-128,*,35:38,18,30,0.6,5,9,0.556,13,21,0.619,0.683,10,10,1,2,3,5,7,1,1,2,1,51,43.7,6
61,447,62,2025-03-05T00:00:00.000,OKC,@,MEM,W 120-103,*,34:43,14,25,0.56,3,5,0.6,11,20,0.55,0.62,10,10,1,0,2,2,8,2,0,4,5,41,31.3,19
62,448,64,2025-03-09T00:00:00.000,OKC,,DEN,W 127-103,*,35:25,15,32,0.469,2,11,0.182,13,21,0.619,0.5,8,8,1,2,6,8,5,0,3,1,3,40,30.2,11
63,449,65,2025-03-10T00:00:00.000,OKC,,DEN,L 127-140,*,36:13,8,14,0.571,3,7,0.429,5,7,0.714,0.679,6,6,1,1,2,3,7,1,2,3,2,25,23.2,-18
64,450,66,2025-03-12T00:00:00.000,OKC,@,BOS,W 118-112,*,38:35,11,20,0.55,2,7,0.286,9,13,0.692,0.6,10,11,0.909,1,4,5,7,1,0,5,3,34,25.6,3
65,451,67,2025-03-15T00:00:00.000,OKC,@,DET,W 113-107,*,37:55,17,26,0.654,4,6,0.667,13,20,0.65,0.731,10,10,1,0,4,4,6,3,1,2,1,48,43.3,18
66,452,68,2025-03-16T00:00:00.000,OKC,@,MIL,W 121-105,*,33:35,11,27,0.407,0,5,0,11,22,0.5,0.407,9,11,0.818,1,1,2,8,0,1,1,1,31,21.6,8
67,453,70,2025-03-21T00:00:00.000,OKC,,CHO,W 141-106,*,29:36,13,18,0.722,2,2,1,11,16,0.688,0.778,2,2,1,0,6,6,9,1,0,1,2,30,29.9,31
68,454,71,2025-03-23T00:00:00.000,OKC,@,LAC,W 103-101,*,37:19,7,29,0.241,1,7,0.143,6,22,0.273,0.259,11,11,1,0,3,3,8,2,2,1,2,26,16.6,0
69,455,72,2025-03-25T00:00:00.000,OKC,@,SAC,W 121-105,*,32:56,10,23,0.435,3,6,0.5,7,17,0.412,0.5,9,10,0.9,0,8,8,5,0,0,5,2,32,19.6,13
70,456,73,2025-03-27T00:00:00.000,OKC,,MEM,W 125-104,*,33:35,15,25,0.6,0,2,0,15,23,0.652,0.6,7,9,0.778,0,3,3,6,3,0,0,0,37,32.8,26
71,457,74,2025-03-29T00:00:00.000,OKC,,IND,W 132-111,*,31:11,10,23,0.435,3,6,0.5,7,17,0.412,0.5,10,12,0.833,3,4,7,8,1,0,0,2,33,29.2,17
72,458,75,2025-03-31T00:00:00.000,OKC,,CHI,W 145-117,*,27:16,9,14,0.643,2,2,1,7,12,0.583,0.714,7,7,1,0,0,0,12,0,2,2,0,27,28.6,29
73,459,76,2025-04-02T00:00:00.000,OKC,,DET,W 119-103,*,35:23,10,26,0.385,2,7,0.286,8,19,0.421,0.423,11,12,0.917,2,4,6,3,3,2,1,1,33,26.1,30
74,460,77,2025-04-04T00:00:00.000,OKC,@,HOU,L 111-125,*,35:02,10,22,0.455,1,6,0.167,9,16,0.563,0.477,1,2,0.5,1,3,4,8,3,0,3,2,22,16.6,-6
75,461,78,2025-04-06T00:00:00.000,OKC,,LAL,L 99-126,*,30:26,12,23,0.522,2,5,0.4,10,18,0.556,0.565,0,0,,0,3,3,9,1,1,1,1,26,22.2,-20
76,462,79,2025-04-08T00:00:00.000,OKC,,LAL,W 136-120,*,36:32,14,26,0.538,5,9,0.556,9,17,0.529,0.635,9,11,0.818,1,5,6,6,0,1,1,5,42,32.7,7
,,,,,,,63-13,76,2597,860,1656,0.519,163,435,0.375,697,1221,0.571,0.569,601,669,0.898,67,312,379,486,131,77,183,164,2484,27.1,918
