Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
70,1142,73,2025-03-28,LAC,@,BRK,W 132-100,*,28:51,6,10,.600,2,5,.400,4,5,.800,.700,3,3,1.000,0,2,2,6,0,0,2,1,17,14.8,34
71,1143,74,2025-03-30,LAC,@,CLE,L 122-127,*,35:20,7,18,.389,4,12,.333,3,6,.500,.500,6,6,1.000,1,7,8,8,0,1,5,3,24,17.1,-17
72,1144,75,2025-03-31,LAC,@,ORL,W 96-87,*,39:47,8,19,.421,1,6,.167,7,13,.538,.447,3,4,.750,0,3,3,5,7,1,5,2,20,15.8,2
73,1145,76,2025-04-02,LAC,,NOP,W 114-98,*,33:50,7,14,.500,1,6,.167,6,8,.750,.536,6,8,.750,0,0,0,10,1,3,2,0,21,21.3,13
74,1146,77,2025-04-04,LAC,,DAL,W 114-91,*,30:18,4,11,.364,1,4,.250,3,7,.429,.409,4,4,1.000,0,4,4,5,2,0,5,2,13,7.8,10
75,1147,78,2025-04-05,LAC,,DAL,W 135-104,*,31:18,10,19,.526,1,4,.250,9,15,.600,.553,8,9,.889,2,5,7,14,1,0,2,2,29,30.2,26
76,1148,79,2025-04-08,LAC,,SAS,W 122-117,*,37:49,8,17,.471,3,6,.500,5,11,.455,.559,2,3,.667,1,8,9,12,0,0,3,2,21,19.6,14
77,1149,80,2025-04-09,LAC,,HOU,W 134-117,*,37:09,10,18,.556,5,11,.455,5,7,.714,.694,10,10,1.000,1,2,3,10,2,0,2,1,35,34.3,11
78,1150,81,2025-04-11,LAC,@,SAC,W 101-100,*,42:36,8,15,.533,2,6,.333,6,9,.667,.600,5,7,.714,2,9,11,10,2,1,5,2,23,22.9,3
79,1151,82,2025-04-13,LAC,@,GSW,W 124-119 (OT),*,48:24,13,23,.565,5,8,.625,8,15,.533,.674,8,9,.889,1,6,7,10,2,2,6,3,39,33.4,5
,,,,,,,50-29,79,2790,531,1295,.410,235,668,.352,296,627,.472,.501,505,578,.874,55,401,456,687,118,55,341,162,1802,18.6,344
