Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
38,774,41,2025-01-21,LAL,,WAS,W 111-88,*,32:28,14,22,.636,1,3,.333,13,19,.684,.659,0,1,.000,4,12,16,5,1,4,1,3,29,30.3,20
39,775,42,2025-01-23,LAL,,BOS,W 117-96,*,30:32,9,18,.500,0,1,.000,9,17,.529,.500,6,6,1.000,2,6,8,3,1,3,1,1,24,22.0,15
40,776,43,2025-01-25,LAL,@,GSW,W 118-108,*,36:21,13,23,.565,0,3,.000,13,20,.650,.565,10,12,.833,3,10,13,3,3,1,2,2,36,32.4,9
41,777,44,2025-01-27,LAL,@,CHO,W 112-107,*,36:40,17,28,.607,0,2,.000,17,26,.654,.607,8,10,.800,8,15,23,2,0,2,4,4,42,35.7,16
42,778,45,2025-01-28,LAL,@,PHI,L 104-118,*,09:50,2,3,.667,0,0,,2,3,.667,.667,0,0,,2,0,2,0,1,0,1,0,4,4.1,3
43,779,53,2025-02-08,DAL,,HOU,W 116-105,*,30:57,10,18,.556,2,2,1.000,8,16,.500,.611,4,6,.667,4,12,16,7,0,3,1,0,26,29.0,9
44,780,72,2025-03-24,DAL,@,BRK,W 120-101,*,26:32,6,9,.667,0,2,.000,6,7,.857,.667,0,0,,0,6,6,3,1,1,2,1,12,11.3,12
45,781,74,2025-03-27,DAL,@,ORL,W 101-92,*,28:51,5,19,.263,1,5,.200,4,14,.286,.289,4,7,.571,1,6,7,2,1,0,0,1,15,7.0,-9
46,782,75,2025-03-29,DAL,@,CHI,W 120-119,*,30:03,7,23,.304,0,4,.000,7,19,.368,.304,4,7,.571,1,6,7,5,1,2,0,2,18,11.1,-13
47,783,76,2025-03-31,DAL,,BRK,L 109-113,*,28:27,5,10,.500,0,1,.000,5,9,.556,.500,2,4,.500,0,7,7,5,0,1,1,4,12,9.9,7
48,784,77,2025-04-02,DAL,,ATL,W 120-118,*,29:54,14,23,.609,2,4,.500,12,19,.632,.652,4,4,1.000,2,13,15,2,1,5,4,2,34,29.9,3
49,785,79,2025-04-05,DAL,@,LAC,L 104-135,*,27:27,8,19,.421,1,5,.200,7,14,.500,.447,10,13,.769,2,7,9,0,1,0,6,3,27,13.0,-16
50,786,80,2025-04-09,DAL,,LAL,L 97-112,*,33:22,5,13,.385,0,2,.000,5,11,.455,.385,3,5,.600,2,9,11,6,0,1,4,2,13,9.3,-10
51,787,81,2025-04-11,DAL,,TOR,W 124-102,*,30:28,10,18,.556,1,5,.200,9,13,.692,.583,2,2,1.000,3,10,13,10,0,7,2,1,23,29.0,21
,,,,,,,30-21,51,1704,470,910,.516,35,124,.282,435,786,.553,.536,286,369,.775,134,456,590,181,59,110,113,98,1261,22.0,25
